VO_ID,Boss,Trigger,Condition,Priority,Cooldown_s,Interruptible,Subtitle,PerformanceDirection,Line
LEM_FT_001,Lemons,Fight Start,Boss intro / battle begins,High,0,No,"Okay, okay, easy one—just guess randomly! …No, not like that. Wow, you’re bad at this already.","Fast, squeaky, fake-helpful; sound delighted by the player’s confusion.","Okay, okay, easy one—just guess randomly! …No, not like that. Wow, you’re bad at this already."
LEM_FG_001,Lemons,First Guess,Player locks in their first guess,Medium,8,Yes,"Bold first move. Wrong in at least three interesting ways, but bold.",Play cheerful mockery; admiration is fake.,"Bold first move. Wrong in at least three interesting ways, but bold."
LEM_BR_001,Lemons,Bad Read,Player ignores peg feedback / repeats bad logic,Medium,10,Yes,"Oh wow, you looked at the pegs and learned absolutely nothing. That’s talent.","Sharper, faster, more personal.","Oh wow, you looked at the pegs and learned absolutely nothing. That’s talent."
LEM_GR_001,Lemons,Good Read,Player makes a smart adjustment from the previous clue,Medium,10,Yes,"Ugh, yes, that. See? I basically taught you that. You’re welcome.",Sound annoyed the player improved.,"Ugh, yes, that. See? I basically taught you that. You’re welcome."
LEM_MT_001,Lemons,Mechanic Trigger,Misleading banter / confidence scramble effect triggers,High,6,Yes,"I’m helping! If my help ruins you, that sounds like a personal sorting issue.",Delighted chaos; smile through the threat.,"I’m helping! If my help ruins you, that sounds like a personal sorting issue."
LEM_LG_001,Lemons,Low Guesses,Player reaches low-guess threshold,High,0,No,"Tick-tock, citrus clock! Maybe panic harder—it’s been working great.",Speed up slightly; make the panic playful.,"Tick-tock, citrus clock! Maybe panic harder—it’s been working great."
LEM_RT_001,Lemons,Retry,Player re-enters after a loss,High,0,No,Back already? Nice. I saved all my worst advice just for you.,Welcome them back like this is a party.,Back already? Nice. I saved all my worst advice just for you.
LEM_KO_001,Lemons,Boss Defeated,Player wins the fight,Critical,0,No,"What? No, no—that solution was clearly lemon-adjacent at best.","A petty, wounded denial.","What? No, no—that solution was clearly lemon-adjacent at best."
TMP_FT_001,Templefrist,Fight Start,Boss intro / battle begins,High,0,No,"The code does not bend for the impatient. Align your mind, or be broken by truth.","Slow, resonant, ceremonial.","The code does not bend for the impatient. Align your mind, or be broken by truth."
TMP_FG_001,Templefrist,First Guess,Player commits an opening hypothesis,Medium,8,Yes,A first offering. As shallow as the hands that shaped it.,Severe but not loud.,A first offering. As shallow as the hands that shaped it.
TMP_BR_001,Templefrist,Bad Read,Player repeats a disproven pattern,Medium,10,Yes,You return to error as though repetition were devotion.,Treat the line like a judgment.,You return to error as though repetition were devotion.
TMP_GR_001,Templefrist,Good Read,Player follows clue structure correctly,Medium,10,Yes,"You begin, at last, to hear what the pattern has always said.","Measured approval, still ritualistic.","You begin, at last, to hear what the pattern has always said."
TMP_MT_001,Templefrist,Mechanic Trigger,Mask shift / ancient truth visual triggers,High,6,Yes,The mask reveals nothing new. It is you who arrive unchanged.,"Low intensity, ominous.",The mask reveals nothing new. It is you who arrive unchanged.
TMP_LG_001,Templefrist,Low Guesses,Player reaches low-guess threshold,High,0,No,Few trials remain. Truth is patient. You are not.,"Patient, inevitable, almost pitying.",Few trials remain. Truth is patient. You are not.
TMP_RT_001,Templefrist,Retry,Player re-enters after a loss,High,0,No,"Then kneel again before the sequence, and fail more reverently this time.","Should feel like a rite, not a taunt.","Then kneel again before the sequence, and fail more reverently this time."
TMP_KO_001,Templefrist,Boss Defeated,Player wins the fight,Critical,0,No,So. You have not conquered the code. You have merely listened.,Allow a crack of respect.,So. You have not conquered the code. You have merely listened.
BIG_FT_001,Bigginsly,Fight Start,Boss intro / battle begins,High,0,No,"Welcome, scholars and failures! Observe as our brave challenger misunderstands the entire exercise in real time!","Big, booming, game-show host energy.","Welcome, scholars and failures! Observe as our brave challenger misunderstands the entire exercise in real time!"
BIG_FG_001,Bigginsly,First Guess,Player makes opening move under pressure,Medium,8,Yes,"An opening statement! Confident, flashy, and intellectually bankrupt—my favorite kind.",Perform to an imaginary audience.,"An opening statement! Confident, flashy, and intellectually bankrupt—my favorite kind."
BIG_BR_001,Bigginsly,Bad Read,Player falls for distraction / fake logic,Medium,10,Yes,Ha! You chased the wrong conclusion and made it look academic. Stunning.,Mockery with broad flourish.,Ha! You chased the wrong conclusion and made it look academic. Stunning.
BIG_GR_001,Bigginsly,Good Read,Player cuts through the performance and reasons correctly,Medium,10,Yes,"Oh, don’t look so proud—you tripped over competence by accident.",Ego bruised; mask it with showmanship.,"Oh, don’t look so proud—you tripped over competence by accident."
BIG_MT_001,Bigginsly,Mechanic Trigger,Fake equations / spotlight routine triggers,High,6,Yes,"Eyes up here! The chalkboard is lying, the spotlight is worse, and I am loving this.",Keep it fast and flashy.,"Eyes up here! The chalkboard is lying, the spotlight is worse, and I am loving this."
BIG_LG_001,Bigginsly,Low Guesses,Player reaches low-guess threshold,High,0,No,"Audience, a drumroll please! We may be moments away from an educational collapse!",Escalate crowd-play and spectacle.,"Audience, a drumroll please! We may be moments away from an educational collapse!"
BIG_RT_001,Bigginsly,Retry,Player re-enters after a loss,High,0,No,"Round two! Let’s see if you brought logic this time, or just another brave expression.",Sound thrilled by the rematch.,"Round two! Let’s see if you brought logic this time, or just another brave expression."
BIG_KO_001,Bigginsly,Boss Defeated,Player wins the fight,Critical,0,No,"What? No, no—the lecture was sabotaged by anti-showmanship bias.",Composure breaking under denial.,"What? No, no—the lecture was sabotaged by anti-showmanship bias."
NAN_FT_001,Nanomic,Fight Start,Boss intro / battle begins,High,0,No,Pattern detected. Incorrect methodology. Correction will be enforced.,"Clipped, clinical, nearly monotone.",Pattern detected. Incorrect methodology. Correction will be enforced.
NAN_FG_001,Nanomic,First Guess,Player submits initial input,Medium,8,Yes,Initial sample received. Confidence unjustified.,Brief and exact.,Initial sample received. Confidence unjustified.
NAN_BR_001,Nanomic,Bad Read,Player fails to adapt efficiently,Medium,10,Yes,Feedback ignored. Inefficiency recurring.,No emotion; pure evaluation.,Feedback ignored. Inefficiency recurring.
NAN_GR_001,Nanomic,Good Read,Player improves from prior data,Medium,10,Yes,Adaptation observed. Marginally acceptable.,Approval should sound reluctant and quantified.,Adaptation observed. Marginally acceptable.
NAN_MT_001,Nanomic,Mechanic Trigger,Swarm reconfigures / optimization routine activates,High,6,Yes,Reforming. Delusion of progress will now be measured precisely.,Cold and unsettling.,Reforming. Delusion of progress will now be measured precisely.
NAN_LG_001,Nanomic,Low Guesses,Player reaches low-guess threshold,High,0,No,Attempt reserve depleted. Human error curve remains consistent.,Same calm tone; that’s what makes it threatening.,Attempt reserve depleted. Human error curve remains consistent.
NAN_RT_001,Nanomic,Retry,Player re-enters after a loss,High,0,No,Previous failure archived. Repeating experiment.,No flourish whatsoever.,Previous failure archived. Repeating experiment.
NAN_KO_001,Nanomic,Boss Defeated,Player wins the fight,Critical,0,No,Unexpected outcome logged. Irritation… detected.,A tiny hint of malfunctioning emotion.,Unexpected outcome logged. Irritation… detected.
NAT_FT_001,Natty D,Fight Start,Boss intro / battle begins,High,0,No,"Ooooh, you feel that? That’s the vibe. Don’t worry—it’s about to get way less trustworthy.","Musical, playful, teasing.","Ooooh, you feel that? That’s the vibe. Don’t worry—it’s about to get way less trustworthy."
NAT_FG_001,Natty D,First Guess,Player makes opening guess amid sensory chaos,Medium,8,Yes,"Cute start. Feels wrong though. Like, spiritually wrong.",Playful and improvisational.,"Cute start. Feels wrong though. Like, spiritually wrong."
NAT_BR_001,Natty D,Bad Read,Player gets rattled by noise / confusion,Medium,10,Yes,"See? Your brain slipped on the glitter. Happens to everybody. Well—not me, obviously.","Giddy, lightly mean.","See? Your brain slipped on the glitter. Happens to everybody. Well—not me, obviously."
NAT_GR_001,Natty D,Good Read,Player stays grounded and reasons through chaos,Medium,10,Yes,"Okayyy, rude. You were supposed to get lost in the bit, not solve it.",Hurt pride hiding inside charm.,"Okayyy, rude. You were supposed to get lost in the bit, not solve it."
NAT_MT_001,Natty D,Mechanic Trigger,Confetti / orb tones / vibe disruption triggers,High,6,Yes,"New beat, new light, new problem. Keep up, darling.",Rhythmic and bright.,"New beat, new light, new problem. Keep up, darling."
NAT_LG_001,Natty D,Low Guesses,Player reaches low-guess threshold,High,0,No,"Ohhh, now the panic has rhythm. Love that for you.",Delighted by the player’s stress.,"Ohhh, now the panic has rhythm. Love that for you."
NAT_RT_001,Natty D,Retry,Player re-enters after a loss,High,0,No,Encore! Let’s see if you’ve got better logic or just stronger nerves this time.,Sound like a performer calling for another set.,Encore! Let’s see if you’ve got better logic or just stronger nerves this time.
NAT_KO_001,Natty D,Boss Defeated,Player wins the fight,Critical,0,No,Wait—seriously? Ugh. Fine. That was annoyingly impressive.,Charm cracks for one second.,Wait—seriously? Ugh. Fine. That was annoyingly impressive.
PPE_FT_001,Pretty Pea,Fight Start,Boss intro / battle begins,High,0,No,Oh dear… you’re guessing already? How inelegant. At least fail with posture.,"Soft-spoken, cutting, aristocratic.",Oh dear… you’re guessing already? How inelegant. At least fail with posture.
PPE_FG_001,Pretty Pea,First Guess,Player opens without proper care,Medium,8,Yes,Mm. A hasty arrangement. You do make disorder look committed.,Gentle delivery; maximum damage.,Mm. A hasty arrangement. You do make disorder look committed.
PPE_BR_001,Pretty Pea,Bad Read,Player acts impatiently / repeats sloppy logic,Medium,10,Yes,"And once again, impatience ruins everything it touches.",Polite cruelty.,"And once again, impatience ruins everything it touches."
PPE_GR_001,Pretty Pea,Good Read,Player demonstrates discipline and refinement,Medium,10,Yes,"Better. Not graceful, exactly—but no longer embarrassing.",Approval should still sting.,"Better. Not graceful, exactly—but no longer embarrassing."
PPE_MT_001,Pretty Pea,Mechanic Trigger,Etiquette punishment / fan snap triggers,High,6,Yes,"Order must be maintained. If you cannot keep it, I will keep it for you.",Like a governess issuing sentence.,"Order must be maintained. If you cannot keep it, I will keep it for you."
PPE_LG_001,Pretty Pea,Low Guesses,Player reaches low-guess threshold,High,0,No,"You’re unraveling. Quietly, if you please.","Calm control, no shouting.","You’re unraveling. Quietly, if you please."
PPE_RT_001,Pretty Pea,Retry,Player re-enters after a loss,High,0,No,Back so soon? How determined. How uncultivated.,Smile audibly through it.,Back so soon? How determined. How uncultivated.
PPE_KO_001,Pretty Pea,Boss Defeated,Player wins the fight,Critical,0,No,I see. So even chaos can occasionally button its cuffs.,A grudging concession.,I see. So even chaos can occasionally button its cuffs.
SLO_FT_001,Sir Louie,Fight Start,Boss intro / battle begins,High,0,No,Compose yourself. A scattered mind dishonors the duel before it begins.,"Formal, grounded, precise.",Compose yourself. A scattered mind dishonors the duel before it begins.
SLO_FG_001,Sir Louie,First Guess,Player opens with first formal challenge,Medium,8,Yes,Your opening stance is declared. Let us see whether it carries conviction—or merely noise.,Treat it like the opening exchange of a duel.,Your opening stance is declared. Let us see whether it carries conviction—or merely noise.
SLO_BR_001,Sir Louie,Bad Read,Player relies on gimmicks or careless guessing,Medium,10,Yes,No. That is not deduction. That is flailing in polished armor.,"Strong correction, not mockery.",No. That is not deduction. That is flailing in polished armor.
SLO_GR_001,Sir Louie,Good Read,Player reasons cleanly and adapts honestly,Medium,10,Yes,"There. Precision. At last, you strike with purpose.",Respectful intensity.,"There. Precision. At last, you strike with purpose."
SLO_MT_001,Sir Louie,Mechanic Trigger,Duel escalation / sequence blade reacts,High,6,Yes,Stand firm. The line of truth cuts only the careless.,Steady and commanding.,Stand firm. The line of truth cuts only the careless.
SLO_LG_001,Sir Louie,Low Guesses,Player reaches low-guess threshold,High,0,No,You are cornered. Do not surrender your discipline with your chances.,"Encouraging, but severe.",You are cornered. Do not surrender your discipline with your chances.
SLO_RT_001,Sir Louie,Retry,Player re-enters after a loss,High,0,No,Then rise and face me again. Mastery was never meant for the untested.,Honor the rematch.,Then rise and face me again. Mastery was never meant for the untested.
SLO_KO_001,Sir Louie,Boss Defeated,Player wins the fight,Critical,0,No,Well struck. You have earned this victory—do not cheapen it by doubting it.,Warm respect without losing gravitas.,Well struck. You have earned this victory—do not cheapen it by doubting it.
QAS_FT_001,Queen Asabeth,Fight Start,Boss intro / battle begins,High,0,No,"You seek answers too quickly. Knowledge must be earned, not seized like stolen light.","Regal, prophetic, cold.","You seek answers too quickly. Knowledge must be earned, not seized like stolen light."
QAS_FG_001,Queen Asabeth,First Guess,Player begins the queen’s trial,Medium,8,Yes,A premature reach toward certainty. Fate dislikes trembling hands.,Sound like a verdict.,A premature reach toward certainty. Fate dislikes trembling hands.
QAS_BR_001,Queen Asabeth,Bad Read,Player tries to shortcut logic / fish for revelation,Medium,10,Yes,You beg the pattern to reveal itself. How vulgar.,Contempt controlled to a whisper.,You beg the pattern to reveal itself. How vulgar.
QAS_GR_001,Queen Asabeth,Good Read,Player deduces through earned insight,Medium,10,Yes,Yes. Step by step. Understanding without theft.,Rare approval; still chilly.,Yes. Step by step. Understanding without theft.
QAS_MT_001,Queen Asabeth,Mechanic Trigger,Omens shift / throne rearranges light patterns,High,6,Yes,The omens move. They do not pity those who would skip the lesson.,Mystical but severe.,The omens move. They do not pity those who would skip the lesson.
QAS_LG_001,Queen Asabeth,Low Guesses,Player reaches low-guess threshold,High,0,No,"Your chances dim. At last, your urgency begins to resemble reverence.",Slow and merciless.,"Your chances dim. At last, your urgency begins to resemble reverence."
QAS_RT_001,Queen Asabeth,Retry,Player re-enters after a loss,High,0,No,"Return, then. Fate is patient enough to deny you twice.","Prophetic, not emotional.","Return, then. Fate is patient enough to deny you twice."
QAS_KO_001,Queen Asabeth,Boss Defeated,Player wins the fight,Critical,0,No,So be it. You did not steal the answer. You became worthy of it.,Permit one note of solemn respect.,So be it. You did not steal the answer. You became worthy of it.
ELK_FT_001,Elkgore,Fight Start,Boss intro / battle begins,High,0,No,You cling to patterns as if they love you back. I will cure you of that comfort.,"Predatory, philosophical, slow.",You cling to patterns as if they love you back. I will cure you of that comfort.
ELK_FG_001,Elkgore,First Guess,Player makes first attempt in unstable arena,Medium,8,Yes,"There—your neat little theory, placed so carefully before the swamp takes it.",Savor the player’s false certainty.,"There—your neat little theory, placed so carefully before the swamp takes it."
ELK_BR_001,Elkgore,Bad Read,Player overcommits to stability / certainty,Medium,10,Yes,Good. Hold tighter. Certainty drowns faster when it struggles.,"Almost intimate, deeply unsettling.",Good. Hold tighter. Certainty drowns faster when it struggles.
ELK_GR_001,Elkgore,Good Read,Player adapts to disruption and ambiguity,Medium,10,Yes,Mm. You bend without snapping. That is almost disappointing.,A predator mildly denied its fun.,Mm. You bend without snapping. That is almost disappointing.
ELK_MT_001,Elkgore,Mechanic Trigger,Submerge / swirl effect triggers,High,6,Yes,"Down it goes—your footing, your confidence, your precious sense of order.",Draw out “down” and “order.”,"Down it goes—your footing, your confidence, your precious sense of order."
ELK_LG_001,Elkgore,Low Guesses,Player reaches low-guess threshold,High,0,No,Feel it now? That shiver when the pattern stops promising safety?,"Soft, almost philosophical.",Feel it now? That shiver when the pattern stops promising safety?
ELK_RT_001,Elkgore,Retry,Player re-enters after a loss,High,0,No,Returned to the mire? Excellent. Most minds only need breaking once.,Welcoming in the worst possible way.,Returned to the mire? Excellent. Most minds only need breaking once.
ELK_KO_001,Elkgore,Boss Defeated,Player wins the fight,Critical,0,No,"Hnh. Then you have learned the rarest lesson: instability can be read, too.",Grudging respect with menace intact.,"Hnh. Then you have learned the rarest lesson: instability can be read, too."
MMA_FT_001,Mad Martin,Fight Start,Boss intro / battle begins,High,0,No,Ah! A fresh subject. Let’s see how much your insight costs once the clock starts collecting.,"Breathless, brilliant, delighted.",Ah! A fresh subject. Let’s see how much your insight costs once the clock starts collecting.
MMA_FG_001,Mad Martin,First Guess,Player begins experiment under time-tax pressure,Medium,8,Yes,"Excellent, excellent—an opening hypothesis! Expensive, clumsy, but scientifically entertaining.","Rapid, overeager, hungry for data.","Excellent, excellent—an opening hypothesis! Expensive, clumsy, but scientifically entertaining."
MMA_BR_001,Mad Martin,Bad Read,Player wastes a guess / fails to convert info,Medium,10,Yes,There goes another lovely chunk of time. You do spend progress like a fool.,"Amused, almost affectionate cruelty.",There goes another lovely chunk of time. You do spend progress like a fool.
MMA_GR_001,Mad Martin,Good Read,Player extracts value from prior clues,Medium,10,Yes,"Ohhh, that was clever. Irritatingly clever. Write that down—no, wait, I’ll do it.",Giddy admiration curdling into irritation.,"Ohhh, that was clever. Irritatingly clever. Write that down—no, wait, I’ll do it."
MMA_MT_001,Mad Martin,Mechanic Trigger,Time tax / abacus countdown / pressure spike,High,6,Yes,Discovery has a fee! Tick-tick-tick—surely you heard the invoice.,Laugh on the first phrase; sharpen on the clock sounds.,Discovery has a fee! Tick-tick-tick—surely you heard the invoice.
MMA_LG_001,Mad Martin,Low Guesses,Player reaches low-guess threshold,High,0,No,Splendid! We’ve reached the phase where panic starts masquerading as intuition.,Delighted by the experiment intensifying.,Splendid! We’ve reached the phase where panic starts masquerading as intuition.
MMA_RT_001,Mad Martin,Retry,Player re-enters after a loss,High,0,No,Back again? Wonderful. Repetition is the mother of data and the father of breakdowns.,Should feel like he has been waiting for this.,Back again? Wonderful. Repetition is the mother of data and the father of breakdowns.
MMA_KO_001,Mad Martin,Boss Defeated,Player wins the fight,Critical,0,No,"Impossible. No, no—possible, obviously, but offensively so.",Let the logic keep going even as pride collapses.,"Impossible. No, no—possible, obviously, but offensively so."
